dataset_name,number_feature,number_sample,class1_acc,class2_acc,class3_acc,all_test_data_acc
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.666666667,0.666666667,1,0.777777778
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.733333333,0.733333333,1,0.822222222
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.533333333,0.533333333,1,0.688888889
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.733333333,0.733333333,1,0.822222222
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.733333333,0.733333333,1,0.822222222
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.6,0.6,1,0.733333333
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.733333333,0.733333333,1,0.822222222
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.6,0.6,1,0.733333333
iris_data_raw1,3,150,0.733333333,0.733333333,1,0.822222222
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.666666667,0.666666667,1,0.777777778
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.533333333,0.533333333,1,0.688888889
iris_data_raw1,3,150,0.933333333,0.933333333,1,0.955555556
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,1,1,1,1
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
iris_data_raw1,3,150,0.8,0.8,1,0.866666667
iris_data_raw1,3,150,0.866666667,0.866666667,1,0.911111111
